consumer_id,psychographic_type,preference_style,budget_amount,skin_type,subcategory,brainfry_score,product_id,product_name,brand,price,star_rating,product_style,product_subcat
C001,Maximizer,utilitarian,22506,oily,로션,0.59,62,어성초 77 로션,아누아,19800,4.7,utilitarian,로션
C001,Maximizer,utilitarian,22506,oily,로션,0.59,74,갈락토미세스 로션,코스알엑스,22000,4.6,utilitarian,로션
C001,Maximizer,utilitarian,22506,oily,로션,0.59,99,트러블 진정 로션,닥터지,20000,4.5,utilitarian,로션
C001,Maximizer,utilitarian,22506,oily,로션,0.59,96,라이트 로션,이니스프리,21000,4.5,utilitarian,로션
C001,Maximizer,utilitarian,22506,oily,로션,0.59,97,갈락토 로션,코스알엑스,20000,4.5,utilitarian,로션
C001,Maximizer,utilitarian,22506,oily,로션,0.59,88,갈락토 에센스 로션,미샤,17000,4.4,utilitarian,로션
C001,Maximizer,utilitarian,22506,oily,로션,0.59,59,포어 미니마이징 로션,미샤,16000,4.3,utilitarian,로션
C001,Maximizer,utilitarian,22506,oily,로션,0.59,64,퍼펙트 화이트닝 로션,미샤,14000,4.3,utilitarian,로션
C001,Maximizer,utilitarian,22506,oily,로션,0.59,70,데일리 로션,어노브,8800,4.3,utilitarian,로션
C001,Maximizer,utilitarian,22506,oily,로션,0.59,89,클린 로션,에뛰드,9000,4.2,utilitarian,로션
C001,Maximizer,utilitarian,22506,oily,로션,0.59,91,데일리 촉촉 로션,에뛰드,9500,4.2,utilitarian,로션
C002,Maximizer,utilitarian,27674,all,스킨,0.56,6,히알루론 스킨,토리든,21000,4.7,utilitarian,스킨
C002,Maximizer,utilitarian,27674,all,스킨,0.56,16,스네일 96 뮤신 파워 스킨,코스알엑스,24000,4.7,utilitarian,스킨
C002,Maximizer,utilitarian,27674,all,스킨,0.56,35,리들샷 100 스킨,VT코스메틱,23000,4.7,utilitarian,스킨
C002,Maximizer,utilitarian,27674,all,스킨,0.56,43,리들샷 200 스킨,VT코스메틱,26000,4.7,utilitarian,스킨
C002,Maximizer,utilitarian,27674,all,스킨,0.56,1,그린티 씨드 스킨,이니스프리,25000,4.7,utilitarian,스킨
C002,Maximizer,utilitarian,27674,all,스킨,0.56,19,나이아신아마이드 15 스킨,아누아,23000,4.6,utilitarian,스킨
C002,Maximizer,utilitarian,27674,all,스킨,0.56,21,어성초 스킨,아누아,24000,4.6,utilitarian,스킨
C002,Maximizer,utilitarian,27674,all,스킨,0.56,28,나이아신아마이드 스킨,토리든,20000,4.6,utilitarian,스킨
C002,Maximizer,utilitarian,27674,all,스킨,0.56,31,마데카소사이드 스킨,아누아,21000,4.6,utilitarian,스킨
C002,Maximizer,utilitarian,27674,all,스킨,0.56,33,세라마이드 스킨,토리든,22000,4.6,utilitarian,스킨
